rank,strategy,params,trades,win_rate,profit_factor,sharpe_ratio,total_pnl,final_equity,score
21,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 7}",2602,44.850115295926216,0.5815956203489357,-7.684533370810074,-3400.999999991436,1599.0000000085638,0.11631912406978716
22,MACD,"{'macd_fast': 10, 'macd_slow': 19, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 7}",2571,44.30182808245819,0.5813853346464545,-7.5984682526374945,-3402.4999999914144,1597.5000000085856,0.1162770669292909
23,MACD,"{'macd_fast': 10, 'macd_slow': 17, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 7}",2575,44.38834951456311,0.581345302509394,-7.589644488939685,-3404.499999991376,1595.5000000086238,0.1162690605018788
24,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 10, 'sl_pips': 3, 'tp_pips': 4}",289,52.24913494809689,0.16993865030621547,-5.521767652170085,-676.5000000000418,4323.499999999958,0.11574394463667823
25,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 10, 'sl_pips': 3, 'tp_pips': 5}",289,52.24913494809689,0.231343283581777,-4.969104038898391,-669.5000000000164,4330.499999999984,0.11574394463667823
26,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 7, 'sl_pips': 3, 'tp_pips': 7}",2598,44.45727482678984,0.5782728104981775,-7.725012942971289,-3454.9999999914144,1545.0000000085856,0.1156545620996355
27,MACD,"{'macd_fast': 10, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 7}",2610,44.78927203065134,0.5764088161678064,-7.823480036812861,-3468.9999999914835,1531.0000000085165,0.11528176323356128
28,MACD,"{'macd_fast': 8, 'macd_slow': 19, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 7}",2640,44.92424242424242,0.5758382762385026,-7.847708241116213,-3503.999999991429,1496.000000008571,0.11516765524770052
29,MACD,"{'macd_fast': 10, 'macd_slow': 19, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 7}",2604,44.66205837173579,0.5748579805761606,-7.808625412938592,-3479.999999991569,1520.000000008431,0.11497159611523211
30,MACD,"{'macd_fast': 8, 'macd_slow': 17, 'macd_signal': 5, 'sl_pips': 3, 'tp_pips': 7}",2666,44.5986496624156,0.5663152879526149,-8.032859742137603,-3640.9999999914635,1359.0000000085365,0.11326305759052298
31,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 7, 'sl_pips': 3, 'tp_pips': 4}",343,51.60349854227405,0.16564729867428496,-6.092771130621624,-818.5000000000173,4181.499999999983,0.11122448979591838
32,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 7, 'sl_pips': 3, 'tp_pips': 5}",343,51.60349854227405,0.2254528122017722,-5.493521031348959,-812.5,4187.5,0.11122448979591838
